Year 2007
January,22.427803(10.855255),21.980888(5.955275),1479056.000000
February,23.588890(12.000215),22.961344(5.157013),1082013.000000


May,6.688944(144.474289),13.152825(4.148431),80039.000000
June,22.648277(12.006671),14.052011(3.754170),569733.000000
July,24.794355(14.794681),14.516176(3.213723),520415.000000
August,19.545216(13.833164),13.833793(3.948646),666224.000000
September,20.029133(14.309663),14.548172(3.727558),880960.000000
October,19.784618(11.815583),16.048447(4.394305),1141523.000000
November,22.575792(10.204575),20.509533(5.398607),1527151.000000
December,24.372076(10.983166),20.680485(5.820348),1467180.000000
